		Institution	Location	Academic	Employer	Citations	H	International	Score
185	185=	University of Otago	New Zealand	72.4	68.6	76	62.1	24.1	68.7
186=	98=	Renmin (People's) University of China	China (Mainland)	77	66.9	71	35	22.3	68.6
186=	204=	Universitat Pompeu Fabra (Barcelona)	Spain	70.2	71.7	82	57.1	34.8	68.6
188	159=	Jawaharlal Nehru University	India	84.2	55.9	56	35		68.5
189=	227	Jagiellonian University	Poland	76.8	59.2	63.7	44.2	44.9	68.3
189=	185=	Queensland University of Technology (QUT)	Australia	69.7	69.4	83.4	62.1	33.8	68.3
189=	174=	University of Cape Town	South Africa	71.6	60.4	76.1	66.3	51.3	68.3
192=	215=	Universite libre de Bruxelles	Belgium	75	61.5	73.1	51.3	31.7	68.2
192=	245=	Ural Federal University - UrFU	Russia	73	77	55.9	44.2	30.5	68.2
194=	195=	American University of Beirut (AUB)	Lebanon	69.3	81.4	66.6	51.3	27.6	68.1
194=	218=	Deakin University	Australia	68.8	71.7	77.7	62.1	40.2	68.1
194=	152=	Sungkyunkwan University(SKKU)	South Korea	74.5	73.6	73.6	35	10.1	68.1
194=	220=	University of Bern	Switzerland	71.6	59.9	79.3	62.1	50.4	68.1
194=	194	University of Lausanne	Switzerland	74.5	58.9	74.3	57.1	34.8	68.1
194=	177	Vrije Universiteit Amsterdam	Netherlands	72	53.9	82.7	70.1	53.7	68.1
200	287=	Universitas Indonesia	Indonesia	73.9	86	51.1	35		68
201	190=	"University of California, Davis"	United States	68.9	66.7	80.8	73.4	33.3	67.9
202=	185=	Boston College	United States	72.5	59	77.6	70.1	27.6	67.8
202=	234=	Universit?t  Leipzig	Germany	75.6	52.6	72.4	57.1	43.9	67.8
204	207=	University of Salamanca	Spain	74.8	61.5	71.8	44.2	35.7	67.7
205=	213=	Ewha Womans University	South Korea	78.6	61.5	64.4	44.2		67.6
205=	195=	Pontificia Universidad Cat¨®lica del Per¨²	Peru	79.9	62.6	55.2	22.1	27.6	67.6
205=	192=	Pontificia Universidad Javeriana	Colombia	78.1	68	51.9	35	12.7	67.6
208=	239	University of Southampton	United Kingdom	66.3	63.5	84.3	79.3	54.6	67.5
208=	215=	Westf?lische Wilhelms-Universit?t M¨¹nster 	Germany	74.2	54.7	75.5	57.1	42.4	67.5
210=	252=	Universit¨¦ de Paris	France	73	51.5	73.9	66.3	54.9	67.4
210=	182=	University of Calgary	Canada	67.6	71.3	80.2	70.1	26.9	67.4
210=	231=	University of Pisa	Italy	72.6	64.7	69.6	51.3	37.2	67.4
213=	350=	Gadjah Mada University	Indonesia	74.9	83.1	45.1	22.1	12.7	67.2
213=	192=	The Hebrew University of Jerusalem	Israel	73.7	50.8	73.3	73.4	35.8	67.2
215	252=	University of Wollongong	Australia	65.5	69.5	81.7	70.1	49.9	67.1
216=	228=	"Birkbeck, University of London"	United Kingdom	74.9	41.6	79.1	73.4	46.8	67
216=	209=	George Washington University	United States	68.8	66.6	81.3	66.3	26.7	67
216=	224=	Tecnol¨®gico de Monterrey	Mexico	74.2	76.3	50	35	17.7	67
216=	209=	University of Navarra	Spain	69.4	76.1	66.8	51.3	25.4	67
216=	195=	Washington University in St. Louis	United States	70.4	55.4	79.7	76.5	39.9	67
221=	284=	The Hong Kong University of Science and Technology	Hong Kong SAR	69.9	84.7	69.4	22.1	23.1	66.9
221=	231=	University of Florence	Italy	73.2	61.6	67.9	51.3	33.7	66.9
223=	233	Imperial College London	United Kingdom	66.4	79.9	86.3	35	36.8	66.8
223=	276=	Kyung Hee University	South Korea	72	64.6	71.9	51.3	28	66.8
223=	249=	University of Antwerp	Belgium	70.5	53	77.6	76.5	47	66.8
223=	182=	University of Sussex	United Kingdom	71.6	53.4	83.3	73.4	27.7	66.8
227=	228=	 Western Sydney University	Australia	67.3	63.8	78.3	66.3	53.5	66.7
227=	287=	Queen's University Belfast	United Kingdom	69.9	61	75.2	62.1	45.9	66.7
227=	252=	University of Delhi	India	82	60.9	48.8	22.1		66.7
227=	178=	Wuhan University	China (Mainland)	71.8	70	73.8	35	29.7	66.7
231=	243=	Griffith University	Australia	69.1	62.6	76.9	57.1	50.5	66.6
231=	207=	University of Minnesota Twin Cities	United States	69.2	56	79.2	66.3	60.3	66.6
231=	314=	University of Turin	Italy	70.7	60.2	66.7	62.1	50.3	66.6
234=	209=	Oxford Brookes University	United Kingdom	67.4	76.4	73.9	62.1	10.5	66.4
234=	234=	Queen's University at Kingston	Canada	69.9	66.3	78.9	57.1	19.4	66.4
236=	200=	Emory University	United States	70.8	54.8	81	66.3	36.1	66.3
236=	224=	KAIST - Korea Advanced Institute of Science & Technology	South Korea	70.1	75.4	77.7	44.2		66.3
236=	278=	National Chengchi University	Taiwan	74.8	66.5	64.8	35	12.7	66.3
236=	224=	University of Basel	Switzerland	74.9	48	77	51.3	42.8	66.3
236=	258=	University of Leicester	United Kingdom	68	59.3	79.3	70.1	49.6	66.3
236=	220=	University of Lisbon 	Portugal	71.2	60.5	71	51.3	46.1	66.3
242=	266=	National Tsing Hua University	Taiwan	73.9	71.1	59.2	22.1	31.7	66.2
242=	203	Rice University	United States	71.3	58.6	79.2	66.3	16.6	66.2
242=	220=	Simon Fraser University	Canada	70.3	59	82.1	57.1	35.5	66.2
242=	213=	University of Ottawa	Canada	68.7	64.1	79.9	62.1	30.8	66.2
246=	252=	Karl-Franzens-Universitaet Graz	Austria	74.2	49.9	76.2	57.1	32.2	66.1
246=	261=	Scuola Normale Superiore di Pisa	Italy	76.8	66.3	55.2	35		66.1
248=	218=	Sun Yat-sen University	China (Mainland)	69.4	63.1	76.9	57.1	32.1	65.9
248=	327=	Universit¨¤ degli studi Roma Tre	Italy	75.7	53.8	64	44.2	31.7	65.9
248=	258=	Universiti Kebangsaan Malaysia (UKM)	Malaysia	72.8	68.8	62.2	35	23.1	65.9
248=	234=	University of Connecticut	United States	69	48	83.7	76.5	58.5	65.9
248=	274=	University of Granada	Spain	71.9	58.4	67.9	44.2	54	65.9
253=	311=	MGIMO University	Russia	73.5	83.3	44.8	22.1		65.8
253=	302=	"The University of Newcastle, Australia (UON)"	Australia	66	68.8	78.3	62.1	37.7	65.8
253=	234=	Tohoku University	Japan	71.7	70.1	60.9	44.2	17.7	65.8
253=	291=	Universit¨¦ du Qu¨¦bec	Canada	69.4	59.8	75.9	57.1	44.5	65.8
257=	271=	Hong Kong Baptist University	Hong Kong SAR	70.1	68.5	74.3	44.2	20.8	65.7
257=	451-500	L.N. Gumilyov Eurasian National University (ENU)	Kazakhstan	79.7	68.5	51.5	-	5.7	65.7
257=	314=	Universidad de Sevilla	Spain	71.2	61.9	66.1	44.2	46	65.7
260=	200=	The American University in Cairo	Egypt	70.4	79.3	55.6	44.2		65.6
260=	304=	Universit¨¦ de Strasbourg	France	74	57	63.4	44.2	34.6	65.6
260=	304=	University of the Philippines	Philippines	72.5	74.6	52.8	22.1	31.7	65.6
263=	341=	Aix-Marseille University	France	73.2	43.1	74.4	51.3	70.9	65.5
263=	215=	Aristotle University of Thessaloniki	Greece	70.9	62.9	73	51.3	20.2	65.5
263=	281=	La Trobe University	Australia	67.8	63.9	77.8	57.1	38.6	65.5
263=	240=	University of Gothenburg	Sweden	71.6	48.4	79.1	66.3	39.8	65.5
267=	299=	Rheinische Friedrich-Wilhelms-Universit?t Bonn	Germany	72.9	53	68.3	51.3	41.4	65.4
267=	249=	Rhode Island School of Design (RISD)	United States	81.8	54.2	37.4	35		65.4
267=	304=	University of Canterbury | Te Whare W¨¡nanga o Waitaha	New Zealand	67.9	70.2	75.1	44.2	34.2	65.4
267=	333=	University of East Anglia (UEA)	United Kingdom	68.5	52.2	81.9	70.1	49.1	65.4
271=	299=	Cairo University	Egypt	68.8	77	58.3	35	31.7	65.3
271=	295	King Abdulaziz University (KAU)	Saudi Arabia	69.8	69.1	78.4	35	22.3	65.3
271=	327=	National University of Ireland Galway	Ireland	70.4	66.5	70.6	44.2	22.3	65.3
274=	278=	Erasmus University Rotterdam 	Netherlands	64.2	66.7	89.9	57.1	46.5	65.2
274=	234=	Loughborough University	United Kingdom	66.7	63.1	79.4	57.1	47	65.2
274=	220=	Texas A&M University	United States	64	67.1	77.4	66.3	51.9	65.2
274=	281=	Universidade Nova de Lisboa	Portugal	70.2	55.4	74	62.1	36.3	65.2
274=	304=	Universiti Sains Malaysia (USM)	Malaysia	70.8	69.7	72	22.1	34.6	65.2
274=	278=	University of Aberdeen	United Kingdom	68.1	58.9	76.5	70.1	31.4	65.2
280=	291=	National and Kapodistrian University of Athens	Greece	68	62.7	70.8	51.3	52.4	65.1
280=	240=	Purdue University	United States	65.3	63.9	81.2	66.3	40.6	65.1
280=	195=	University of Kent	United Kingdom	70.1	52.6	77.5	70.1	28.5	65.1
283=	337	Bo?azi?i University	Turkey	68.2	67.9	67.1	51.3	31.7	65
283=	200=	Concordia University	Canada	71.5	55.7	76.7	51.3	26.3	65
283=	249=	HUFS - Hankuk (Korea) University of Foreign Studies 	South Korea	73.4	65.5	60.9	35	12.7	65
283=	204=	University of Illinois at Chicago (UIC)	United States	68	60.7	80.7	57.1	34.3	65
283=	252=	University of Rochester	United States	67.5	59.8	84.9	62.1	29.7	65
288=	261=	University College Cork	Ireland	68.7	65.8	73.8	57.1	14.9	64.9
288=	245=	Western University	Canada	66.3	63.5	79.6	66.3	30.2	64.9
290=	296=	National Cheng Kung University (NCKU)	Taiwan	73	71	68.5	22.1		64.8
290=	276=	Tomsk State University	Russia	70.9	73.7	62.4	22.1	23.7	64.8
290=	245=	Universit?t Konstanz	Germany	73.1	40.7	75.8	57.1	57	64.8
290=	274=	University of Florida	United States	65.9	61.1	79.7	57.1	55.7	64.8
294=	310	University of Naples - Federico II	Italy	69.4	63.9	67.3	44.2	38.1	64.7
294=	284=	University of Porto	Portugal	68.9	57.9	74.3	57.1	37.7	64.7
296	287=	"University of California, Santa Cruz"	United States	70.9	46.8	81.5	62.1	37.8	64.6
297=		Abai Kazakh National Pedagogical University	Kazakhstan	81	62.9	44.9	-		64.5
297=	320=	Curtin University	Australia	63.7	68.3	81.2	62.1	37.7	64.5
299=	343=	"Lingnan University, Hong Kong"	Hong Kong SAR	68.1	65.2	67.4	51.3	31.7	64.4
299=	343=	Universiti Putra Malaysia (UPM)	Malaysia	68.8	70.5	67	35	27.6	64.4
301=	299=	Technische Universit?t Berlin (TU Berlin)	Germany	67.1	66.1	71.8	57.1	23.1	64.3
301=	319	Universit¨¦ Paris-Nanterre	France	76	39.7	64.2	51.3	42.4	64.3
303=	243=	University of Iowa	United States	69.1	48.8	79.8	70.1	33.8	64.2
303=	271=	University of Witwatersrand	South Africa	66.8	55.6	77.1	62.1	50.2	64.2
305=	252=	University of Oregon	United States	65.9	57.5	80.7	66.3	37.7	64
305=	314=	University of Turku	Finland	68.5	49.3	81.1	57.1	53	64
307=	261=	Universidad de Santiago de Chile (USACH)	Chile	70.6	66.3	55.5	44.2	15.7	63.9
307=	302=	University of Colorado Boulder	United States	65.1	54.9	81.4	70.1	49.8	63.9
307=	261=	University of Waterloo	Canada	61.9	70.4	82.6	66.3	29.7	63.9
310=	293=	Tel Aviv University	Israel	70.2	48.8	74.7	62.1	33.5	63.8
310=	365=	Universit¨¦ Grenoble Alpes	France	69.1	58.3	75.6	44.2	34.6	63.8
310=	287=	University of Tartu	Estonia	69.6	55.3	64.1	51.3	47.3	63.8
313=	269=	California Institute of Technology (Caltech)	United States	64.9	77.3	72.1	51.3		63.7
313=	266=	Dartmouth College	United States	65.8	63.6	77.2	62.1	21.2	63.7
313=	271=	Georgia Institute of Technology	United States	65.3	67.3	86.2	44.2	26.4	63.7
